"","Word","Feeling"
"658","apoquentado","-1"
"659","apoquentador","-1"
"660","aposentado","0"
"661","apostado","1"
"663","apóstata","-1"
"664","aprazível","1"
"665","apreciado","1"
"666","apreciador","1"
"667","apreciar","0"
"669","apreciável","1"
"670","apreendido","-1"
"671","apreensivo","-1"
"672","apresentar alternativas","1"
"673","apresentar resultados","1"
"674","apresentável","1"
"675","apressado","0"
"676","aprimorado","1"
"677","apriorista","-1"
"678","aprisionado","-1"
"679","aprontado","0"
"680","aprontar","-1"
"681","apropriado","1"
"682","apropriar-se","-1"
"684","aprovado","1"
"685","aproveitador","-1"
"686","aproveitar-se","-1"
"688","aprumado","1"
"689","aprumo","1"
"690","apto","1"
"691","apunhalado","-1"
"692","apunhalar pelas costas","-1"
"694","apunhalar","-1"
"696","apupar","0"
"698","apurado","1"
"699","aquietador","-1"
"700","árabe","0"
"701","arbitrário","-1"
"702","arcaico","-1"
"703","ardente","1"
"704","ardil","-1"
"705","ardiloso","-1"
"706","ardoroso","0"
"707","árduo","-1"
"708","arfante","-1"
"709","arguto","0"
"710","ariano","0"
"711","árido","-1"
"712","arisco","-1"
"713","aristocrata","0"
"714","aristotélico","0"
"715","armado","0"
"716","armar barraca","-1"
"717","armar-se aos cágados","-1"
"718","armar-se aos cucos","-1"
"719","armar-se em carapau de corrida","-1"
"720","armar-se em chico esperto","-1"
"721","armar-se em parvo","-1"
"722","armar-se","-1"
"723","arnaz","1"
"724","arquejante","-1"
"725","arrancado","0"
"726","arranhado","-1"
"727","arranjar lenha para se queimar","-1"
"728","arranjar sarna para se coçar","-1"
"729","arranjar um bico de obra","-1"
"730","arrasado","-1"
"731","arrasador","0"
"732","arrasante","0"
"733","arrasar","1"
"735","arrastadeiro","-1"
"736","arrastado","-1"
"737","arrebatado","0"
"738","arrebatador","0"
"739","arrebatar","1"
"741","arrebentado","-1"
"742","arrebitado","-1"
"743","arredado","-1"
"744","arredio","-1"
"745","arreliado","-1"
"746","arreliador","-1"
"747","arreliar","1"
"749","arremessado","0"
"750","arrenegado","-1"
"751","arrepender-se","-1"
"752","arrepiante","-1"
"753","arrepio","-1"
"754","arretado","1"
"755","arrevesado","-1"
"756","arrivista","-1"
"757","arrogância","-1"
"758","arrogante","-1"
"759","arrojado","1"
"760","arrolado","-1"
"761","arrozeiro","0"
"762","arruaceiro","-1"
"763","arrufado","-1"
"764","arrufo","-1"
"765","arruinado","-1"
"766","arruinamento","-1"
"767","arruinar-se","-1"
"768","arruinar","-1"
"770","arruivado","0"
"771","arrumar a um canto","1"
"773","arrumar as botas","-1"
"774","arrumar","1"
"776","arteirice","-1"
"777","arteiro","-1"
"778","arteriosclerose","-1"
"779","arteriosclerótico","-1"
"780","artificial","-1"
"781","artificialidade","-1"
"782","artifício","-1"
"783","artificiosidade","-1"
"784","artificioso","-1"
"785","artimanha","-1"
"786","artista","0"
"787","artístico","1"
"789","artritismo","-1"
"790","ascético","0"
"791","aselha","-1"
"792","aselhice","-1"
"793","asfixiante","-1"
"794","asfixiar","1"
"796","asilado","-1"
"797","asneira","-1"
"798","asneirento","-1"
"799","asno","-1"
"800","aspereza","-1"
"801","áspero","-1"
"802","aspirante","0"
"803","asquerosidade","-1"
"804","asqueroso","-1"
"805","assalariado","-1"
"806","assaloiado","-1"
"807","assaltante","-1"
"808","assaltar","-1"
"810","assanhadiço","-1"
"811","assanhado","-1"
"812","assarapantado","-1"
"813","assassinar","-1"
"815","assassino","-1"
"816","assaz","0"
"817","asseado","1"
"818","assediado","-1"
"819","assediador","-1"
"820","assediar","-1"
"822","assédio sexual","-1"
"823","assédio","-1"
"824","asseio","1"
"825","assertivo","1"
"826","assexuado","0"
"827","assexual","0"
"828","assiduidade","1"
"829","assíduo","1"
"830","assimétrico","-1"
"831","assimilado","0"
"832","assinado","0"
"833","assinalado","1"
"835","assinalável","1"
"836","assisado","1"
"837","assoberbado","-1"
"838","assolado","-1"
"839","assolador","-1"
"840","assomadiço","-1"
"841","assombrado","-1"
"842","assombrar","1"
"844","assustadiço","-1"
"845","assustado","-1"
"846","assustador","-1"
"847","assustar-se","-1"
"848","assustar","0"
"850","astenia","-1"
"851","asténico","-1"
"852","astúcia","-1"
"853","astucioso","-1"
"854","astuto","-1"
"855","atabalhoação","-1"
"856","atabalhoado","-1"
"857","atabalhoamento","-1"
"858","atacante","-1"
"860","atacar","1"
"862","atado","-1"
"864","atafulhado","-1"
"865","atamancado","-1"
"866","atarantação","-1"
"867","atarantado","-1"
"868","atarantar-se","-1"
"869","atarantar","1"
"871","atarefado","0"
"872","atarracado","-1"
"873","atascado","0"
"874","ateado","-1"
"875","atemorizado","-1"
"876","atemorizar","1"
"878","atencioso","1"
"879","atento","1"
"880","aterrado","-1"
"881","aterrador","-1"
"882","aterrorizado","-1"
"883","aterrorizador","-1"
"884","aterrorizar","1"
"886","atiçado","0"
"887","atilado","1"
"888","atinado","1"
"889","atiradiço","0"
"890","atirar areia para os olhos de","-1"
"892","atirar barro à parede","-1"
"893","atirar com as culpas a","-1"
"895","atirar poeira aos olhos de","-1"
"897","ativado","0"
"898","ativo","1"
"900","atleta","1"
"902","atlético","1"
"903","atoleimado","-1"
"904","atónito","-1"
"905","atônito","-1"
"906","atordoado","-1"
"907","atordoador","-1"
"908","atordoar","1"
"910","atormentado","-1"
"911","atormentador","-1"
"912","atormentar","1"
"914","atracado","-1"
"915","atractivo","1"
"916","atraente","1"
"917","atraiçoado","-1"
"918","atrair","1"
"920","atrapalhado","-1"
"921","atrapalhar-se","-1"
"922","atrapalhar","1"
"924","atrasado mental","-1"
"925","atrasado","-1"
"926","atraso mental","-1"
"927","atraso","-1"
"928","atrativo","1"
"929","atravessadiço","-1"
"930","atravessado","-1"
"932","atrevido","0"
"933","atrevidote","0"
"934","atribulado","-1"
"935","atroador","-1"
"936","atrocidade","-1"
"937","atrofia","-1"
"938","atrofiado","-1"
"939","atrofiante","-1"
"940","atrofiar-se","-1"
"941","atrofiar","-1"
"942","atropelado","-1"
"943","atropelar","-1"
"945","atroz","-1"
"946","atulhado","-1"
"947","aturar","0"
"949","aturdido","-1"
"950","aturdir","1"
"952","audacioso","0"
"953","audaz","0"
"954","áureo","1"
"955","auspicioso","1"
"956","austero","-1"
"957","autenticidade","1"
"958","autêntico","1"
"960","autismo","-1"
"961","autista","-1"
"962","autoconfiança","1"
"963","autoconfiante","1"
"964","autocrata","0"
"965","autodestruição","-1"
"966","autodestrutivo","-1"
"967","autodidacta","1"
"968","autodidata","1"
"969","autonomia","1"
"970","autonomista","1"
"971","autónomo","1"
"972","autoritário","-1"
"973","autoritarismo","-1"
"974","autorizado","1"
"975","autosuficiência","1"
"976","autosuficiente","1"
"977","auxiliado","0"
"978","avançado","1"
"980","avantajado","0"
"981","avarento","-1"
"982","avareza","-1"
"983","avariado","-1"
"984","avariar","-1"
"985","avaro","-1"
"986","avassalador","-1"
"987","avassalamento","-1"
"988","avassalante","-1"
"989","avassalar","1"
"991","avençado","0"
"992","aventurado","0"
"993","aventureiro","0"
"994","aventuroso","0"
"995","averiguador","0"
"996","avermelhado","0"
"997","averroísta","0"
"998","averso","-1"
"999","avesso","-1"
"1000","ávido","-1"
"1001","aviltado","-1"
"1002","aviltador","-1"
"1003","aviltante","-1"
"1004","avinagrado","-1"
"1005","avinhado","-1"
"1006","avisado","1"
"1008","avulso","-1"
"1009","azafamado","-1"
"1010","azambrado","-1"
"1011","azar","-1"
"1012","azarado","-1"
"1013","azarento","-1"
"1014","azedar","-1"
